Author,TE,seTE,RiskOfBias,TypeControlGroup,InterventionDuration,InterventionType,ModeOfDelivery
Call et al.,0.7091362,0.2608202,high,WLC,short,mindfulness,group
Cavanagh et al.,0.3548641,0.1963624,low,WLC,short,mindfulness,online
DanitzOrsillo,1.79117,0.3455692,high,WLC,short,ACT,group
de Vibe et al.,0.1824552,0.1177874,low,no intervention,short,mindfulness,group
Frazier et al.,0.4218509,0.1448128,low,information only,short,PCI,online
Frogeli et al.,0.63,0.196,low,no intervention,short,ACT,group
Gallego et al.,0.7248838,0.2246641,high,no intervention,long,mindfulness,group
Hazlett-Stevens & Oren,0.5286638,0.2104609,low,no intervention,long,mindfulness,book
Hintz et al.,0.284,0.168,low,information only,short,PCI,online
Kang et al.,1.2750682,0.3371997,low,no intervention,long,mindfulness,group
Kuhlmann et al.,0.1036082,0.1947275,high,no intervention,short,mindfulness,group
Lever Taylor et al.,0.3883906,0.2307689,low,WLC,long,mindfulness,book
Phang et al.,0.5407398,0.2443133,low,no intervention,short,mindfulness,group
Rasanen et al.,0.4261593,0.2579379,low,WLC,short,ACT,online
Ratanasiripong,0.5153969,0.3512737,high,no intervention,short,mindfulness,group
Shapiro et al.,1.479726,0.3152817,high,WLC,long,mindfulness,group
Song & Lindquist,0.6125782,0.2266834,high,WLC,long,mindfulness,group
Warnecke et al.,0.6,0.249,low,information only,long,mindfulness,online
